kent_zone,Outstanding,Good,Requires improvement,Inadequate,Not rated
South Kent,0.0,32.35,17.65,0.0,50.0
East Kent,2.44,36.59,0.0,0.0,60.98
Mid Kent,2.0,32.0,6.0,0.0,60.0
West Kent,3.57,46.43,7.14,0.0,42.86
North Kent,0.0,25.81,3.23,0.0,70.97
Medway,0.0,0.0,0.0,0.0,100.0
