pc,lat,lon,district
ME142TP,51.280881,0.526955,Maidstone
ME145DZ,51.274845,0.530768,Maidstone
ME145FY,51.284656,0.556461,Maidstone
ME145GD,51.281233,0.536869,Maidstone
ME145NZ,51.279769,0.549178,Maidstone
ME145PP,51.271055,0.538818,Maidstone
ME150AG,51.238955,0.518467,Maidstone
ME156AQ,51.260753,0.526956,Maidstone
ME156JF,51.260484,0.526912,Maidstone
ME156LP,51.270476,0.524837,Maidstone
ME156LU,51.270883,0.523898,Maidstone
ME156NE,51.262288,0.509953,Maidstone
ME156RJ,51.262833,0.508434,Maidstone
ME156SX,51.267088,0.520967,Maidstone
ME156UY,51.260672,0.520271,Maidstone
ME156XW,51.272547,0.520978,Maidstone
ME157BS,51.265643,0.525833,Maidstone
ME158GA,51.266493,0.556243,Maidstone
ME158PR,51.267446,0.568568,Maidstone
ME158WN,51.242188,0.565857,Maidstone
ME159GP,51.242769,0.556991,Maidstone
ME160LL,51.291587,0.503316,Maidstone
ME160LS,51.291812,0.496171,Maidstone
ME168RA,51.270632,0.517189,Maidstone
ME169FZ,51.280705,0.486033,Maidstone
ME173FF,51.238452,0.568486,Maidstone
ME174PT,51.235334,0.495648,Maidstone
ME174TB,51.234511,0.489085,Maidstone
ME185NS,51.25535,0.423908,Tonbridge and Malling
ME186AL,51.23619,0.441826,Maidstone
ME194AE,51.276847,0.396749,Tonbridge and Malling
ME196BJ,51.28786,0.438343,Tonbridge and Malling
ME196DZ,51.29555,0.441748,Tonbridge and Malling
ME22EG,51.392009,0.489906,Medway
ME22JH,51.392967,0.491381,Medway
ME22LB,51.387365,0.473498,Medway
ME22LS,51.390438,0.48765,Medway
ME24AB,51.393888,0.497915,Medway
ME24AZ,51.401106,0.511579,Medway
ME24BH,51.389975,0.518142,Medway
ME24DP,51.390035,0.51954,Medway
ME24DY,51.397073,0.516376,Medway
ME24DZ,51.398682,0.51136,Medway
ME24HN,51.392048,0.514202,Medway
ME24HU,51.393063,0.513409,Medway
ME24QW,51.393256,0.516554,Medway
ME24TH,51.39588,0.492244,Medway
ME24TR,51.3961,0.493305,Medway
ME24WQ,51.396334,0.498781,Medway
ME206HP,51.304143,0.432491,Tonbridge and Malling
ME207BS,51.304273,0.48326,Tonbridge and Malling
ME207FF,51.301034,0.473975,Tonbridge and Malling
ME207SU,51.293832,0.475596,Tonbridge and Malling
ME38FD,51.414394,0.514738,Medway
ME38PX,51.428507,0.549595,Medway
ME38ST,51.451532,0.563574,Medway
ME39JF,51.427309,0.561254,Medway
ME39JH,51.426624,0.55677,Medway
ME39XW,51.421904,0.571884,Medway
ME43AN,51.406943,0.53659,Medway
ME43ED,51.40106,0.534596,Medway
ME44EQ,51.383154,0.518731,Medway
ME44HW,51.383733,0.525647,Medway
ME44HY,51.383568,0.525393,Medway
ME44NP,51.379389,0.532335,Medway
ME44QZ,51.40136,0.537776,Medway
ME44TZ,51.395085,0.528055,Medway
ME45LU,51.373485,0.535041,Medway
